NUM DISTRITO,DISTRITO,PERIODO,RENTA MEDIA
19,Poblats Del Sud,2015,25374
3,Extramurs,2015,35019
6,El Pla Del Real,2015,49943
8,Patraix,2015,29104
12,Camins Al Grau,2015,30113
17,Poblats Del Nord,2015,32121
4,Campanar,2015,34332
2,L'Eixample,2015,"40432,4"
13,Algiros,2015,32429
7,L'Olivereta,2015,24310
9,Jesus,2015,25622
18,Poblats Del L'Oest,2015,23049
1,Ciutat Vella,2015,"36418,8"
5,La Saidia,2015,27267
10,Quatre Carreres,2015,26837
11,Poblats Maritims,2015,24826
14,Benimaclet,2015,31278
15,Rascanya,2015,25903
16,Benicalap,2015,25505
7,L'Olivereta,2016,24848
16,Benicalap,2016,26330
5,La Saidia,2016,27893
15,Rascanya,2016,26573
4,Campanar,2016,35206
13,Algiros,2016,32898
14,Benimaclet,2016,31725
3,Extramurs,2016,35767
8,Patraix,2016,29749
11,Poblats Maritims,2016,25554
10,Quatre Carreres,2016,27281
1,Ciutat Vella,2016,"38300,5"
18,Poblats Del L'Oest,2016,23989
9,Jesus,2016,26191
19,Poblats Del Sud,2016,26224
17,Poblats Del Nord,2016,32804
12,Camins Al Grau,2016,31099
2,L'Eixample,2016,"42645,1"
6,El Pla Del Real,2016,48583
12,Camins Al Grau,2017,32240
8,Patraix,2017,30486
7,L'Olivereta,2017,25501
14,Benimaclet,2017,32696
9,Jesus,2017,26993
10,Quatre Carreres,2017,27912
13,Algiros,2017,33494
15,Rascanya,2017,27390
19,Poblats Del Sud,2017,27148
3,Extramurs,2017,36554
11,Poblats Maritims,2017,26286
5,La Saidia,2017,28151
17,Poblats Del Nord,2017,33742
1,Ciutat Vella,2017,"38169,4"
18,Poblats Del L'Oest,2017,24751
6,El Pla Del Real,2017,49695
2,L'Eixample,2017,"43430,5"
16,Benicalap,2017,26945
4,Campanar,2017,36215
6,El Pla Del Real,2018,52495
9,Jesus,2018,28057
12,Camins Al Grau,2018,33336
18,Poblats Del L'Oest,2018,25652
10,Quatre Carreres,2018,29375
1,Ciutat Vella,2018,"41976,4"
19,Poblats Del Sud,2018,28269
2,L'Eixample,2018,"45673,2"
3,Extramurs,2018,38557
13,Algiros,2018,34742
17,Poblats Del Nord,2018,35528
15,Rascanya,2018,28688
14,Benimaclet,2018,34135
7,L'Olivereta,2018,26469
5,La Saidia,2018,29770
16,Benicalap,2018,28162
11,Poblats Maritims,2018,27537
4,Campanar,2018,37717
8,Patraix,2018,31520
12,Camins Al Grau,2019,34817
13,Algiros,2019,36045
18,Poblats Del L'Oest,2019,27256
19,Poblats Del Sud,2019,29526
17,Poblats Del Nord,2019,37470
15,Rascanya,2019,30115
14,Benimaclet,2019,35534
16,Benicalap,2019,29662
10,Quatre Carreres,2019,30841
8,Patraix,2019,32884
6,El Pla Del Real,2019,53193
2,L'Eixample,2019,"47914,4"
7,L'Olivereta,2019,27793
4,Campanar,2019,39120
5,La Saidia,2019,31329
9,Jesus,2019,29349
1,Ciutat Vella,2019,"41976,6"
11,Poblats Maritims,2019,28827
3,Extramurs,2019,40045
10,Quatre Carreres,2020,30929
6,El Pla Del Real,2020,52558
15,Rascanya,2020,30215
2,L'Eixample,2020,"48275,4"
3,Extramurs,2020,39700
7,L'Olivereta,2020,27936
1,Ciutat Vella,2020,"42242,3"
16,Benicalap,2020,29792
17,Poblats Del Nord,2020,37277
5,La Saidia,2020,31437
14,Benimaclet,2020,35670
8,Patraix,2020,33154
12,Camins Al Grau,2020,35031
4,Campanar,2020,38762
18,Poblats Del L'Oest,2020,27512
13,Algiros,2020,36006
19,Poblats Del Sud,2020,29563
9,Jesus,2020,29391
11,Poblats Maritims,2020,28742
4,Campanar,2021,40450
16,Benicalap,2021,31196
18,Poblats Del L'Oest,2021,28458
17,Poblats Del Nord,2021,39855
5,La Saidia,2021,32445
7,L'Olivereta,2021,28835
15,Rascanya,2021,31425
2,L'Eixample,2021,"47725,4"
14,Benimaclet,2021,36493
8,Patraix,2021,34521
19,Poblats Del Sud,2021,30634
9,Jesus,2021,30420
13,Algiros,2021,37115
10,Quatre Carreres,2021,32290
12,Camins Al Grau,2021,36218
1,Ciutat Vella,2021,"42879,2"
11,Poblats Maritims,2021,30050
6,El Pla Del Real,2021,53722
3,Extramurs,2021,41041
2,L'Eixample,2022,"52010,1"
19,Poblats Del Sud,2022,32240
3,Extramurs,2022,43201
6,El Pla Del Real,2022,58092
4,Campanar,2022,42527
17,Poblats Del Nord,2022,42038
5,La Saidia,2022,34130
16,Benicalap,2022,32894
15,Rascanya,2022,33209
7,L'Olivereta,2022,30394
8,Patraix,2022,36536
14,Benimaclet,2022,38379
9,Jesus,2022,32005
13,Algiros,2022,38781
10,Quatre Carreres,2022,34390
12,Camins Al Grau,2022,38406
11,Poblats Maritims,2022,31660
18,Poblats Del L'Oest,2022,30219
1,Ciutat Vella,2022,"46087,6"